"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","3/10","203/9421",0.0147783251231527,13.9226600985222,6.06721175967387,0.00105781866402831,0.00209014772169449,0.000657363532496983,"207/596/5728",3
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","3/10","205/9421",0.0146341463414634,13.7868292682927,6.03359463128643,0.00108832578967067,0.00212482654173797,0.000668270221727601,"207/4318/5728",3
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","3/10","227/9421",0.013215859030837,12.4506607929515,5.6924443444976,0.00146155352494356,0.00281993856577345,0.0008868869686964,"207/3091/5728",3
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","3/10","239/9421",0.0125523012552301,11.8255230125523,5.52569307725106,0.00169544521147043,0.00323317458931571,0.00101685208521483,"7124/3553/3569",3
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","2/10","69/9421",0.0289855072463768,27.3072463768116,7.14916389026695,0.00229053730271942,0.00431779445570098,0.00135797129864793,"207/7124",2
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","2/10","70/9421",0.0285714285714286,26.9171428571429,7.09438378471324,0.00235657020427421,0.00434244397192101,0.00136572371389043,"207/7124",2
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","2/10","70/9421",0.0285714285714286,26.9171428571429,7.09438378471324,0.00235657020427421,0.00434244397192101,0.00136572371389043,"207/3091",2
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","2/10","73/9421",0.0273972602739726,25.8109589041096,6.93670446966555,0.00256006065779811,0.00466499942087656,0.0014671692658726,"207/7157",2
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","2/10","77/9421",0.025974025974026,24.4701298701299,6.74065353279166,0.0028439026205865,0.0050695655410455,0.00159440764769724,"207/7157",2
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","2/10","77/9421",0.025974025974026,24.4701298701299,6.74065353279166,0.0028439026205865,0.0050695655410455,0.00159440764769724,"207/7157",2
