Target Name
PTGS2
AR
CDK2
PIK3CG
BCL2
CDKN1A
BAX
CASP3
TP53
CASP8
FASLG
ESR1
PPARG
MAPK14
GSK3B
AKT1
CCND1
CASP9
KDR
TNF
IL6
TERT
MMP1
CCL2
CXCL8
TOP2A
IL1B
PLAU
CYP1A1
CYP1B1
ABCC2
MUC1
TGFB1
VEGFA
MMP9
HIF1A
EGLN1
ESR2
RB1
CDK4
CDK6
CDKN2A
MDM2
IGF1R
HMOX1
IL2
IFNG
INSR
CFLAR
APC
CTSD
IL10
PTEN
EP300
TYR
